method,field,abstract_length_group,f1,recall,precision,n
ml_decomposed,Int,long,0.16636042595482062,0.7559203539321463,0.10120077785002833,60
ml_decomposed,Out,short,0.26102877751253006,0.6873068572234707,0.17352469211687466,62
ml_decomposed,Out,medium,0.26730651779271464,0.8066961855645465,0.1685681664021776,62
ml_decomposed,Out,long,0.21244586744598773,0.7801310598028797,0.12915520147466852,60
ml_decomposed,Pop,short,0.2916371430835563,0.7424358753178163,0.2015820738202863,62
ml_decomposed,Pop,medium,0.27468016976525483,0.7065812828951554,0.1877077570331316,62
ml_decomposed,Pop,long,0.30229604484123485,0.8077492423059929,0.1994431356144368,60
ml_end_to_end,Int,short,0.17306729656942063,0.7014921559204209,0.10828748500334177,62
ml_end_to_end,Int,medium,0.16610433907816693,0.7368587881570461,0.09694176640143377,62
ml_end_to_end,Int,long,0.16463228721400497,0.7584118136682305,0.09750865062708716,60
ml_end_to_end,Out,short,0.2724082996031488,0.7096054831434474,0.18787604024548693,62
ml_end_to_end,Out,medium,0.2626903155289361,0.8256925506128228,0.16341702031256367,62
ml_end_to_end,Out,long,0.21001650907243377,0.8113054314680538,0.12661154809323633,60
ml_end_to_end,Pop,short,0.28438202243572497,0.7916647864922038,0.18597051244854443,62
ml_end_to_end,Pop,medium,0.2812577878421283,0.7810281063974407,0.18243136910790994,62
ml_end_to_end,Pop,long,0.2971257392066694,0.8292676042091863,0.19393815510551649,60
